Name,ID,Class,Gender,Eng-QAdvice,Eng-AI,Eng-GroupStyle,Eng-GroupFreq,Gen-QAdvice,Gen-AI,Gen-GroupStyle,Gen-GroupFreq,Gen-Subjects,試験名,時期,科目,スコア
高橋 大輔,25_11,A,M,していない,基本的には使わない,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,していない,基本的には使わない,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,なし,AiGROW,4月,思考力/論理性,40
斉藤 和也,25_12,A,M,していない,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,数学、生物、地理、化学,AiGROW,4月,思考力/論理性,55
山田 さくら,25_13,B,F,２回以上した,よく使う（毎週１回以上使う）,教えることが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,なし,AiGROW,4月,思考力/論理性,71
金子 玲奈,25_14,A,F,していない,基本的には使わない,訊くことが多い,基本的には行わない（個人学習がメイン）,２回以上した,基本的には使わない,訊くこと・教えることの割合は半々くらい,よくグループ学習をする（毎週１回以上）,生物、日本史、数学,AiGROW,4月,思考力/論理性,67
青木 陽介,25_15,B,M,していない,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,たまにグループ学習をする（週に１回あるかないか）,していない,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,たまにグループ学習をする（週に１回あるかないか）,物理,AiGROW,4月,思考力/論理性,48
森 舞子,25_16,A,F,１回はした,たまに使う（週１回あるかないか）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,していない,基本的には使わない,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,数学,AiGROW,4月,思考力/論理性,61
中村 舞子,25_17,A,F,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,数学,AiGROW,4月,思考力/論理性,77
佐藤 美咲,25_18,B,F,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,２回以上した,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,数学、物理、化学,AiGROW,4月,思考力/論理性,51
福田 拓真,25_19,A,M,１回はした,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,１回はした,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,物理,AiGROW,4月,思考力/論理性,51
遠藤 玲奈,25_20,B,F,していない,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,国語、数学、化学,AiGROW,4月,思考力/論理性,54
高橋 紗季,25_21,A,F,２回以上した,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,２回以上した,たまに使う（週１回あるかないか）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,物理、数学、日本史,AiGROW,4月,思考力/論理性,82
渡辺 直樹,25_22,B,M,していない,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,１回はした,たまに使う（週１回あるかないか）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,国語、生物,AiGROW,4月,思考力/論理性,60
松本 一郎,25_23,B,M,していない,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,数学,AiGROW,4月,思考力/論理性,47
松村 陽音,25_24,A,F,していない,よく使う（毎週１回以上使う）,教えることが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,物理、数学,AiGROW,4月,思考力/論理性,52
森田 太郎,25_25,B,M,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,英語、数学、物理,AiGROW,4月,思考力/論理性,32
山田 健介,25_26,B,M,していない,基本的には使わない,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,２回以上した,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,数学、物理,AiGROW,4月,思考力/論理性,52
中村 太郎,25_27,B,M,２回以上した,たまに使う（週１回あるかないか）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,２回以上した,よく使う（毎週１回以上使う）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学、物理,AiGROW,4月,思考力/論理性,47
森 和也,25_28,A,M,していない,たまに使う（週１回あるかないか）,訊くこと・教えることの割合は半々くらい,基本的には行わない（個人学習がメイン）,していない,たまに使う（週１回あるかないか）,教えることが多い,基本的には行わない（個人学習がメイン）,物理,AiGROW,4月,思考力/論理性,55
林 野乃子,25_29,A,F,していない,よく使う（毎週１回以上使う）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学、物理、化学,AiGROW,4月,思考力/論理性,37
山崎 直樹,25_30,A,M,,,,,,,,,,AiGROW,4月,思考力/論理性,38
林 健介,25_31,B,M,,,,,,,,,,AiGROW,4月,思考力/論理性,48
田中 めぐみ,25_32,A,F,,,,,,,,,,AiGROW,4月,思考力/論理性,75
斎藤 拓真,25_33,B,M,,,,,,,,,,AiGROW,4月,思考力/論理性,76
清水 彩香,25_34,A,F,,,,,,,,,,AiGROW,4月,思考力/論理性,89
中村 久博,25_01,A,M,していない,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,していない,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,国語,AiGROW,4月,判断力/決断力,76
近藤 舞子,25_02,B,F,していない,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,生物、日本史,AiGROW,4月,判断力/決断力,82
松本 翔太,25_03,A,M,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,１回はした,よく使う（毎週１回以上使う）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学,AiGROW,4月,判断力/決断力,52
田中 さくら,25_04,A,F,１回はした,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,２回以上した,たまに使う（週１回あるかないか）,訊くこと・教えることの割合は半々くらい,よくグループ学習をする（毎週１回以上）,数学、生物,AiGROW,4月,判断力/決断力,57
阿部 和也,25_05,B,M,１回はした,よく使う（毎週１回以上使う）,教えることが多い,基本的には行わない（個人学習がメイン）,２回以上した,たまに使う（週１回あるかないか）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学、物理,AiGROW,4月,判断力/決断力,59
山崎 紗季,25_06,B,F,していない,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,物理、数学,AiGROW,4月,判断力/決断力,52
金子 陽菜,25_07,B,F,していない,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,していない,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,よくグループ学習をする（毎週１回以上）,数学、国語,AiGROW,4月,判断力/決断力,75
門倉 耕三,25_08,A,M,１回はした,たまに使う（週１回あるかないか）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,物理,AiGROW,4月,判断力/決断力,40
森田 舞子,25_09,B,F,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,英語　理科　数学,AiGROW,4月,判断力/決断力,61
松田 舞子,25_10,B,F,１回はした,たまに使う（週１回あるかないか）,訊くことが多い,基本的には行わない（個人学習がメイン）,していない,基本的には使わない,訊くこと・教えることの割合は半々くらい,基本的には行わない（個人学習がメイン）,なし,AiGROW,4月,判断力/決断力,61
高橋 大輔,25_11,A,M,していない,基本的には使わない,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,していない,基本的には使わない,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,なし,AiGROW,4月,判断力/決断力,54
斉藤 和也,25_12,A,M,していない,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,数学、生物、地理、化学,AiGROW,4月,判断力/決断力,59
山田 さくら,25_13,B,F,２回以上した,よく使う（毎週１回以上使う）,教えることが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,なし,AiGROW,4月,判断力/決断力,75
金子 玲奈,25_14,A,F,していない,基本的には使わない,訊くことが多い,基本的には行わない（個人学習がメイン）,２回以上した,基本的には使わない,訊くこと・教えることの割合は半々くらい,よくグループ学習をする（毎週１回以上）,生物、日本史、数学,AiGROW,4月,判断力/決断力,60
青木 陽介,25_15,B,M,していない,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,たまにグループ学習をする（週に１回あるかないか）,していない,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,たまにグループ学習をする（週に１回あるかないか）,物理,AiGROW,4月,判断力/決断力,50
森 舞子,25_16,A,F,１回はした,たまに使う（週１回あるかないか）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,していない,基本的には使わない,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,数学,AiGROW,4月,判断力/決断力,61
中村 舞子,25_17,A,F,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,数学,AiGROW,4月,判断力/決断力,78
佐藤 美咲,25_18,B,F,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,２回以上した,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,数学、物理、化学,AiGROW,4月,判断力/決断力,63
福田 拓真,25_19,A,M,１回はした,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,１回はした,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,物理,AiGROW,4月,判断力/決断力,51
遠藤 玲奈,25_20,B,F,していない,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,国語、数学、化学,AiGROW,4月,判断力/決断力,45
高橋 紗季,25_21,A,F,２回以上した,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,２回以上した,たまに使う（週１回あるかないか）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,物理、数学、日本史,AiGROW,4月,判断力/決断力,76
渡辺 直樹,25_22,B,M,していない,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,１回はした,たまに使う（週１回あるかないか）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,国語、生物,AiGROW,4月,判断力/決断力,56
松本 一郎,25_23,B,M,していない,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,数学,AiGROW,4月,判断力/決断力,56
松村 陽音,25_24,A,F,していない,よく使う（毎週１回以上使う）,教えることが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,物理、数学,AiGROW,4月,判断力/決断力,56
森田 太郎,25_25,B,M,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,英語、数学、物理,AiGROW,4月,判断力/決断力,37
山田 健介,25_26,B,M,していない,基本的には使わない,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,２回以上した,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,数学、物理,AiGROW,4月,判断力/決断力,62
中村 太郎,25_27,B,M,２回以上した,たまに使う（週１回あるかないか）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,２回以上した,よく使う（毎週１回以上使う）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学、物理,AiGROW,4月,判断力/決断力,53
森 和也,25_28,A,M,していない,たまに使う（週１回あるかないか）,訊くこと・教えることの割合は半々くらい,基本的には行わない（個人学習がメイン）,していない,たまに使う（週１回あるかないか）,教えることが多い,基本的には行わない（個人学習がメイン）,物理,AiGROW,4月,判断力/決断力,41
林 野乃子,25_29,A,F,していない,よく使う（毎週１回以上使う）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学、物理、化学,AiGROW,4月,判断力/決断力,58
山崎 直樹,25_30,A,M,,,,,,,,,,AiGROW,4月,判断力/決断力,34
林 健介,25_31,B,M,,,,,,,,,,AiGROW,4月,判断力/決断力,60
田中 めぐみ,25_32,A,F,,,,,,,,,,AiGROW,4月,判断力/決断力,74
斎藤 拓真,25_33,B,M,,,,,,,,,,AiGROW,4月,判断力/決断力,86
清水 彩香,25_34,A,F,,,,,,,,,,AiGROW,4月,判断力/決断力,73
中村 久博,25_01,A,M,していない,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,していない,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,国語,AiGROW,4月,表現力,74
近藤 舞子,25_02,B,F,していない,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,生物、日本史,AiGROW,4月,表現力,79
松本 翔太,25_03,A,M,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,１回はした,よく使う（毎週１回以上使う）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学,AiGROW,4月,表現力,47
田中 さくら,25_04,A,F,１回はした,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,２回以上した,たまに使う（週１回あるかないか）,訊くこと・教えることの割合は半々くらい,よくグループ学習をする（毎週１回以上）,数学、生物,AiGROW,4月,表現力,61
阿部 和也,25_05,B,M,１回はした,よく使う（毎週１回以上使う）,教えることが多い,基本的には行わない（個人学習がメイン）,２回以上した,たまに使う（週１回あるかないか）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学、物理,AiGROW,4月,表現力,59
山崎 紗季,25_06,B,F,していない,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,物理、数学,AiGROW,4月,表現力,59
金子 陽菜,25_07,B,F,していない,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,していない,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,よくグループ学習をする（毎週１回以上）,数学、国語,AiGROW,4月,表現力,79
門倉 耕三,25_08,A,M,１回はした,たまに使う（週１回あるかないか）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,物理,AiGROW,4月,表現力,38
森田 舞子,25_09,B,F,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,英語　理科　数学,AiGROW,4月,表現力,69
松田 舞子,25_10,B,F,１回はした,たまに使う（週１回あるかないか）,訊くことが多い,基本的には行わない（個人学習がメイン）,していない,基本的には使わない,訊くこと・教えることの割合は半々くらい,基本的には行わない（個人学習がメイン）,なし,AiGROW,4月,表現力,49
高橋 大輔,25_11,A,M,していない,基本的には使わない,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,していない,基本的には使わない,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,なし,AiGROW,4月,表現力,44
斉藤 和也,25_12,A,M,していない,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,数学、生物、地理、化学,AiGROW,4月,表現力,46
山田 さくら,25_13,B,F,２回以上した,よく使う（毎週１回以上使う）,教えることが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,なし,AiGROW,4月,表現力,82
金子 玲奈,25_14,A,F,していない,基本的には使わない,訊くことが多い,基本的には行わない（個人学習がメイン）,２回以上した,基本的には使わない,訊くこと・教えることの割合は半々くらい,よくグループ学習をする（毎週１回以上）,生物、日本史、数学,AiGROW,4月,表現力,55
青木 陽介,25_15,B,M,していない,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,たまにグループ学習をする（週に１回あるかないか）,していない,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,たまにグループ学習をする（週に１回あるかないか）,物理,AiGROW,4月,表現力,47
森 舞子,25_16,A,F,１回はした,たまに使う（週１回あるかないか）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,していない,基本的には使わない,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,数学,AiGROW,4月,表現力,45
中村 舞子,25_17,A,F,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,数学,AiGROW,4月,表現力,64
佐藤 美咲,25_18,B,F,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,２回以上した,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,数学、物理、化学,AiGROW,4月,表現力,70
福田 拓真,25_19,A,M,１回はした,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,１回はした,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,物理,AiGROW,4月,表現力,62
遠藤 玲奈,25_20,B,F,していない,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,国語、数学、化学,AiGROW,4月,表現力,61
高橋 紗季,25_21,A,F,２回以上した,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,２回以上した,たまに使う（週１回あるかないか）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,物理、数学、日本史,AiGROW,4月,表現力,79
渡辺 直樹,25_22,B,M,していない,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,１回はした,たまに使う（週１回あるかないか）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,国語、生物,AiGROW,4月,表現力,56
松本 一郎,25_23,B,M,していない,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,数学,AiGROW,4月,表現力,38
松村 陽音,25_24,A,F,していない,よく使う（毎週１回以上使う）,教えることが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,物理、数学,AiGROW,4月,表現力,46
森田 太郎,25_25,B,M,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,英語、数学、物理,AiGROW,4月,表現力,34
山田 健介,25_26,B,M,していない,基本的には使わない,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,２回以上した,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,数学、物理,AiGROW,4月,表現力,65
中村 太郎,25_27,B,M,２回以上した,たまに使う（週１回あるかないか）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,２回以上した,よく使う（毎週１回以上使う）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学、物理,AiGROW,4月,表現力,52
森 和也,25_28,A,M,していない,たまに使う（週１回あるかないか）,訊くこと・教えることの割合は半々くらい,基本的には行わない（個人学習がメイン）,していない,たまに使う（週１回あるかないか）,教えることが多い,基本的には行わない（個人学習がメイン）,物理,AiGROW,4月,表現力,46
林 野乃子,25_29,A,F,していない,よく使う（毎週１回以上使う）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学、物理、化学,AiGROW,4月,表現力,49
山崎 直樹,25_30,A,M,,,,,,,,,,AiGROW,4月,表現力,34
林 健介,25_31,B,M,,,,,,,,,,AiGROW,4月,表現力,55
田中 めぐみ,25_32,A,F,,,,,,,,,,AiGROW,4月,表現力,67
斎藤 拓真,25_33,B,M,,,,,,,,,,AiGROW,4月,表現力,79
清水 彩香,25_34,A,F,,,,,,,,,,AiGROW,4月,表現力,84
中村 久博,25_01,A,M,していない,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,していない,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,国語,AiGROW,4月,主体性,77
近藤 舞子,25_02,B,F,していない,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,生物、日本史,AiGROW,4月,主体性,84
松本 翔太,25_03,A,M,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,１回はした,よく使う（毎週１回以上使う）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学,AiGROW,4月,主体性,47
田中 さくら,25_04,A,F,１回はした,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,２回以上した,たまに使う（週１回あるかないか）,訊くこと・教えることの割合は半々くらい,よくグループ学習をする（毎週１回以上）,数学、生物,AiGROW,4月,主体性,56
阿部 和也,25_05,B,M,１回はした,よく使う（毎週１回以上使う）,教えることが多い,基本的には行わない（個人学習がメイン）,２回以上した,たまに使う（週１回あるかないか）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学、物理,AiGROW,4月,主体性,58
